NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;Mandature;NuancePolitique;NomTerritoire;TypeTerritoire
BAGNANINCHI;JOSEPH;M;NA;CONSEILLER MUNICIPAL;26/04/1953;01/03/1959;FM;M;26/04/1953;01/03/1959;FM;1953;SOC;SAINT MARTIN DE CRAU;Commune
COLLAVERI;LOUIS;M;1878-09-13;CONSEILLER MUNICIPAL;26/04/1953;01/03/1959;FM;M;26/04/1953;01/03/1959;FM;1953;SOC;PANTIN;Commune
KERAUTRET;PIERRE;M;1899-05-11;CONSEILLER MUNICIPAL;26/04/1953;01/03/1959;FM;M;26/04/1953;01/03/1959;FM;1953;SOC;ROMAINVILLE;Commune
LAMBERTON;LEONCE;M;1886-11-14;CONSEILLER MUNICIPAL;26/05/1953;05/03/1959;FM;M;26/05/1953;05/03/1959;FM;1953;DROITE;FONTAINE LES DIJON;Commune
KIR;FELIX;M;1876-01-22;CONSEILLER MUNICIPAL;26/05/1953;05/03/1959;FM;M;26/05/1953;05/03/1959;FM;1953;CNI;DIJON;Commune
DUCHET;ROGER;M;04/07/1904;CONSEILLER MUNICIPAL;26/05/1953;05/03/1959;FM;M;26/05/1953;05/03/1959;FM;1953;CNI;BEAUNE;Commune
ROSSILLE;AIME;M;NA;CONSEILLER MUNICIPAL;26/05/1953;05/03/1959;FM;M;26/05/1953;05/03/1959;FM;1953;NA;TALANT;Commune
BERTHAUD;DOMINIQUE;M;NA;CONSEILLER MUNICIPAL;26/05/1953;05/03/1959;FM;M;26/05/1953;05/03/1959;FM;1953;SOC;LONGVIC;Commune
ORY;ANDRE;M;NA;CONSEILLER MUNICIPAL;01/10/1957;01/03/1959;FM;M;01/10/1957;01/03/1959;FM;1953;COM;NOISY LE GRAND;Commune
FROUSSART;JEAN;M;16/05/1908;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;CENTRE;CHEVIGNY SAINT SAUVEUR;Commune
ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;CNI;DIVONNE LES BAINS;Commune
RUET;ROLAND;M;29/10/1921;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;CNI;FERNEY VOLTAIRE;Commune
BAILLY;HENRI;M;1891-05-14;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;CNI;CHENOVE;Commune
MARTIN;ROGER;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;BERRE L ETANG;Commune
TURCAN;FRANCIS;M;23/02/1912;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;MARTIGUES;Commune
KARMAN;ANDRE;M;10/03/1924;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;AUBERVILLIERS;Commune
HOUDREMONT;JEAN;M;04/10/1924;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;LA COURNEUVE;Commune
GREGOIRE;ANDRE;M;01/01/1911;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;MONTREUIL;Commune
ORY;ANDRE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;01/07/1962;DM;M;08/03/1959;01/07/1962;DM;1959;COM;NOISY LE GRAND;Commune
BESSERER;JEAN;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;10/07/1962;10/03/1965;FM;1959;COM;NOISY LE GRAND;Commune
LOLIVE;JEAN;M;06/06/1910;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;PANTIN;Commune
GILLOT;AUGUSTE;M;07/02/1905;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;SAINT DENIS;Commune
CALTOT;ROGER;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;COM;CLICHY SOUS BOIS;Commune
LAMBERTON;LEONCE;M;1886-11-14;CONSEILLER MUNICIPAL;08/03/1959;01/03/1964;NA;M;08/03/1959;01/03/1964;NA;1959;DROITE;FONTAINE LES DIJON;Commune
DELEUIL;LAURENS;M;08/11/1918;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;DVD;MARIGNANE;Commune
VALETTE;HONORE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;DVD;TARASCON;Commune
COLSON;MARCEL;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;DVD;RAINCY;Commune
CADOZ;MARIUS;M;30/12/1914;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;DVG;GEX;Commune
MOURET;HENRI;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;IND;AIX EN PROVENCE;Commune
CHOUQUET;YVES;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;IND;AUBAGNE;Commune
CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;IND;BELLEY;Commune
PRIVAT;CHARLES;M;08/06/1914;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SFIO;ARLES;Commune
KIR;FELIX;M;1876-01-22;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;CNI;DIJON;Commune
DUCHET;ROGER;M;04/07/1904;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;CNI;BEAUNE;Commune
GUESNIER;RENE;M;07/01/1919;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;PCF;BOBIGNY;Commune
BONNET;ADOLPHE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;AURIOL;Commune
GUIS;MAURICE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;BOUC BEL AIR;Commune
MARTIN;RAYMOND;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;CABRIES;Commune
NILES;MAURICE;M;12/09/1919;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;PCF;DRANCY;Commune
CORRE;CHARLES;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;LE BOURGET;Commune
EMIN;LEON;M;11/07/1903;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;OYONNAX;Commune
