"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","Mandature","NuancePolitique","NomTerritoire","TypeTerritoire"
"031","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM",1953,"SOC","SAINT MARTIN DE CRAU","Commune"
"032","COLLAVERI","LOUIS","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM",1953,"SOC","PANTIN","Commune"
"033","KERAUTRET","PIERRE","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM",1953,"SOC","ROMAINVILLE","Commune"
"034","LAMBERTON","LEONCE","M",NA,"CONSEILLER MUNICIPAL",1953-05-26,1959-03-05,"FM","M",1953-05-26,1959-03-05,"FM",1953,"DROITE","FONTAINE LES DIJON","Commune"
"035","KIR","FELIX","M",NA,"CONSEILLER MUNICIPAL",1953-05-26,1959-03-05,"FM","M",1953-05-26,1959-03-05,"FM",1953,"CNI","DIJON","Commune"
"036","DUCHET","ROGER","M",1904-07-04,"CONSEILLER MUNICIPAL",1953-05-26,1959-03-05,"FM","M",1953-05-26,1959-03-05,"FM",1953,"CNI","BEAUNE","Commune"
"037","ROSSILLE","AIME","M",NA,"CONSEILLER MUNICIPAL",1953-05-26,1959-03-05,"FM","M",1953-05-26,1959-03-05,"FM",1953,NA,"TALANT","Commune"
"038","BERTHAUD","DOMINIQUE","M",NA,"CONSEILLER MUNICIPAL",1953-05-26,1959-03-05,"FM","M",1953-05-26,1959-03-05,"FM",1953,"SOC","LONGVIC","Commune"
"039","ORY","ANDRE","M",NA,"CONSEILLER MUNICIPAL",1957-10-01,1959-03-01,"FM","M",1957-10-01,1959-03-01,"FM",1953,"COM","NOISY LE GRAND","Commune"
"002","FROUSSART","JEAN","M",1908-05-16,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"CENTRE","CHEVIGNY SAINT SAUVEUR","Commune"
