"Elu_IdIndividu","NomDeNaissance","Prenom","Sexe","DateNaissance","DateDeces","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","Serie","CodeTerritoire","NomTerritoire"
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2001-12-02,2008-09-20,"FM","a","2A","CORSE SUD"
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2001-12-02,2008-09-20,"FM","a","2A","CORSE SUD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2008-09-21,2014-09-27,"FM","a","2A","CORSE SUD"
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2008-09-21,2014-09-27,"FM","a","2A","CORSE SUD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1977-03-04,1983-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1977-03-04,1983-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1983-09-25,1992-09-26,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1983-09-25,1992-09-26,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2011-09-25,2017-09-23,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2011-09-25,2017-09-20,NA,"b","ETR_B","FRANCAIS DE L ETRANGER 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000409","DEL PICCHIA","ROBERT","M",1942-11-10,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000409","DEL PICCHIA","ROBERT","M",1942-11-10,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
