NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
ABRIOUX;JEAN CLAUDE;M;01/12/1931;CONSEILLER DEPARTEMENTAL;14/03/1982;20/09/1988;FM;NA;NA;NA;NA;RPR;NA;AULNAY SOUS BOIS;Canton;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;CONSEILLER DEPARTEMENTAL;25/09/1988;01/01/1993;AU;NA;NA;NA;NA;RPR;NA;AULNAY SOUS BOIS;Canton;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;M;06/03/1983;10/03/1989;FM;NA;NA;AULNAY SOUS BOIS;Commune;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;CONSEILLER MUNICIPAL;19/03/1989;10/06/1995;FM;M;19/03/1989;10/06/1995;FM;NA;NA;AULNAY SOUS BOIS;Commune;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;M;18/06/1995;10/03/2001;FM;NA;NA;AULNAY SOUS BOIS;Commune;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;NA;NA;NA;NA;NA;NA;AULNAY SOUS BOIS;Commune;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;DEPUTE;21/03/1993;20/05/1997;FM;NA;NA;NA;NA;RPR;NA;10e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;DEPUTE;25/05/1997;01/06/2002;FM;NA;NA;NA;NA;RPR;NA;10e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ABRIOUX;JEAN CLAUDE;M;01/12/1931;DEPUTE;09/06/2002;01/06/2007;FM;NA;NA;NA;NA;UMP;NA;10e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ANATO;PATRICE;M;14/03/1976;DEPUTE;21/06/2017;10/06/2022;FM;NA;NA;NA;NA;LREM;NA;3e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ARCHIMBAUD;ALINE;F;02/11/1948;CONSEILLER DEPARTEMENTAL;01/01/2014;01/01/2015;NA;NA;NA;NA;NA;EELV;NA;PANTIN EST;Canton;WIKIPEDIA
ARCHIMBAUD;ALINE;F;02/11/1948;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;NA;NA;NA;NA;NA;NA;PANTIN;Commune;WIKIPEDIA
ARCHIMBAUD;ALINE;F;02/11/1948;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;NA;NA;NA;NA;NA;NA;PANTIN;Commune;WIKIPEDIA
ARCHIMBAUD;ALINE;F;02/11/1948;CONSEILLER MUNICIPAL;09/03/2008;01/10/2011;DM;NA;NA;NA;NA;NA;NA;PANTIN;Commune;WIKIPEDIA
ARCHIMBAUD;ALINE;F;02/11/1948;REPRESENTANT PARLEMENT EUROPEEN;06/07/1992;18/07/1994;NA;NA;NA;NA;NA;EELV;NA;NA;NA;WIKIPEDIA
ARCHIMBAUD;ALINE;F;02/11/1948;SENATEUR;25/09/2011;20/09/2017;FM;NA;NA;NA;NA;EELV;NA;SEINE SAINT DENIS;Departement;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;14/03/1971;10/03/1977;FM;NA;NA;NA;NA;NA;NA;AUBERVILLIERS;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;30/11/1983;12/03/1989;FM;NA;NA;NA;NA;NA;NA;AULNAY SOUS BOIS;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;20/03/1989;07/03/1991;AU;NA;NA;NA;NA;NA;NA;VILLEPINTE;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;08/04/1991;10/06/1995;FM;M;08/04/1991;10/06/1995;FM;PCF;NA;TREMBLAY EN France;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;M;18/06/1995;10/03/2001;FM;PCF;NA;TREMBLAY EN France;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;11/03/2001;01/03/2008;FM;PCF;NA;TREMBLAY EN France;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;M;09/03/2008;20/03/2014;FM;PCF;NA;TREMBLAY EN France;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;23/03/2014;15/03/2020;FM;M;23/03/2014;15/03/2020;FM;PCF;NA;TREMBLAY EN France;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;CONSEILLER MUNICIPAL;20/03/2020;NA;NA;M;20/03/2020;NA;NA;PCF;NA;TREMBLAY EN France;Commune;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;02/07/1981;10/03/1986;FM;NA;NA;NA;NA;COM;NA;8e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;16/03/1986;01/06/1988;FM;NA;NA;NA;NA;COM;NA;8e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;05/06/1988;20/03/1993;FM;NA;NA;NA;NA;COM;NA;11e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;21/03/1993;20/05/1997;FM;NA;NA;NA;NA;COM;NA;11e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;25/05/1997;01/06/2002;FM;NA;NA;NA;NA;COM;NA;11e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;09/06/2002;01/06/2007;FM;NA;NA;NA;NA;COM;NA;11e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
ASENSI;FRANCOIS;M;01/06/1945;DEPUTE;10/06/2007;01/06/2012;FM;NA;NA;NA;NA;GDR;NA;11e CIRCONSCRIPTION SEINE SAINT DENIS;Circonscription législative;WIKIPEDIA
