NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
ANDRIEUX;SYLVIE;F;15/12/1961;CONSEILLER REGIONAL;15/03/1998;20/03/2004;FM;NA;NA;NA;NA;SOC;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;CONSEILLER REGIONAL;21/03/2004;10/03/2010;FM;NA;NA;NA;NA;SOC;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;NA;NA;NA;NA;SOC;NA;MARSEILLE;Commune;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;NA;NA;NA;NA;SOC;NA;MARSEILLE;Commune;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;DEPUTE;25/05/1997;01/06/2002;FM;NA;NA;NA;NA;SOC;NA;7e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;DEPUTE;19/07/2002;10/06/2007;FM;NA;NA;NA;NA;SOC;NA;7e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;DEPUTE;10/06/2007;01/06/2012;FM;NA;NA;NA;NA;SOC;NA;7e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ANDRIEUX;SYLVIE;F;15/12/1961;DEPUTE;17/06/2012;08/12/2016;CONDAMNATION;NA;NA;NA;NA;SOC;NA;3e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ARNAUD;HENRI;M;22/05/1915;DEPUTE;23/06/1968;01/03/1973;FM;NA;NA;NA;NA;NA;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER MUNICIPAL;26/04/1953;01/03/1959;FM;NA;NA;NA;NA;NA;NA;AJACCIO;Commune;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;NA;NA;VICO;Commune;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;NA;NA;VICO;Commune;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER MUNICIPAL;14/03/1971;10/03/1977;FM;M;14/03/1971;10/03/1977;FM;NA;NA;VICO;Commune;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER MUNICIPAL;13/03/1977;01/03/1983;FM;M;13/03/1977;01/03/1983;FM;NA;NA;VICO;Commune;WIKIPEDIA
