"Id","IdIndividu","IdEluRNEHisto","IdEluSenat","IdEluAssemblee","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"ain_037",NA,NA,NA,NA,"EMIN","JEAN-PAUL","M",1939-06-17,NA,NA,NA,NA,NA,"FRANCAISE","Directeur commercial","WIKIPEDIA",NA
"ain_043",NA,NA,NA,NA,"GIVERNET","OLGA","F",1981-10-17,"SAINT GERMAIN EN LAYE","YVELINES","France",NA,NA,"FRANCAISE","Ingenieur-e","WIKIPEDIA",NA
"ain_045",NA,NA,NA,NA,"GODIN","ANDRE","M",1942-05-18,"BOURG EN BRESSE","AIN","France",NA,NA,"FRANCAISE","Banquier","ARCHIVES WIKIPEDIA",NA
"ain_046",NA,NA,NA,NA,"GOY-CHAVENT","SYLVIE","F",1963-05-23,"DUNKERQUE","NORD","France",NA,NA,"FRANCAISE","Enseignant","WIKIPEDIA",NA
"ain_047",NA,NA,NA,NA,"GRILLET","ARISTIDE","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ain_048",NA,NA,NA,NA,"GUICHON","LUCIEN","M",1932-02-09,"OYONNAX","AIN","France",2012-08-18,"OYONNAX","FRANCAISE",NA,"WIKIPEDIA",NA
"ain_049",NA,NA,NA,NA,"HECLER","ALBERT","M",1889-01-01,NA,NA,NA,1966-01-01,NA,"FRANCAISE",NA,"WIKIPEDIA",NA
"ain_050",NA,NA,NA,NA,"HUBERT","BERTRAND","M",1946-12-05,NA,NA,NA,NA,NA,NA,"Artisan","WIKIPEDIA",NA
"ain_051",NA,NA,NA,NA,"JEAN","LISETTE","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ain_054",NA,NA,NA,NA,"MARCELPOIL","ROBERT","M",NA,NA,NA,NA,1991-12-22,NA,NA,"Chef entreprise","WIKIPEDIA",NA
"ain_055",NA,NA,NA,NA,"MAZUIR","RACHEL","M",1940-02-12,"BOURG EN BRESSE","AIN","France",NA,NA,"FRANCAISE","Professeurs EPS","WIKIPEDIA",NA
"ain_056",NA,NA,NA,NA,"MEIFFRE","JEAN CHARLES","M",1908-04-18,NA,NA,NA,1996-01-01,NA,NA,"Officier en retraite","ARCHIVES",NA
