NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
JOISSAINS MASINI;MARYSE;F;15/08/1942;TOULON;VAR;France;NON;NA;Français;Avocat;WIKIPEDIA;
JOUVE;MIREILLE;F;30/12/1960;AIX EN PROVENCE;BOUCHES DU RHONE;France;NON;NA;Français;Enseignant-e;WIKIPEDIA;
KERT;CHRISTIAN;M;25/07/1946;SALON DE PROVENCE;BOUCHES DU RHONE;France;NON;NA;Français;Bureaucrate;WIKIPEDIA;
LAFOND;JEAN PIERRE;M;17/02/1940;NA;NA;NA;NON;NA;Français;NA;WIKIPEDIA;
LAMBERT;FRANCOIS MICHEL;M;24/08/1966;LA HAVANE;NA;Cuba;NON;NA;Franco-cubain;Logisticien-ne;WIKIPEDIA;
LAQHILA;MOHAMED;M;03/08/1959;OULMES;NA;Maroc;NON;NA;Français;Expert comptable;WIKIPEDIA;
LAZZARINO;GEORGES;M;19/02/1921;PORT DE BOUC;BOUCHES DU RHONE;France;21/02/2002;PLAN DE CUQUES;Français;Traceur chantier;WIKIPEDIA;Resistance
LE DISSES;ERIC;M;05/07/1955;CHERBOURG;MANCHE;France;NON;NA;Français;Entraineur-se;WIKIPEDIA;
LELOUIS;GISELE;F;10/03/1952;PARIS;PARIS;France;NON;NA;Français;Ingénieur-e;WIKIPEDIA;
LE RUDULIER;STEPHANE;M;09/12/1973;LILLE;NORD;France;NON;NA;Français;Conseiller;WIKIPEDIA;
LECCIA;BASTIEN;M;03/11/1919;PORTO VECCHIO;CORSE;France;09/04/2004;MARSEILLE;Français;Expert comptable;WIKIPEDIA;
LECCIA;BERNARD;M;01/11/1933;SANTA LUCIA DI TALLANO;CORSE DU SUD;France;21/12/2007;NA;Français;NA;WIKIPEDIA;
LEENHARDT;FRANCIS;M;24/04/1908;MARSEILLE;BOUCHES DU RHONE;France;03/11/1983;MARSEILLE;Français;Journaliste;WIKIPEDIA;Resistance
LEONETTI;JEAN JACQUES;M;11/06/1938;CIAMANNACCE;CORSE;France;NON;NA;Français;NA;WIKIPEDIA;
LOMBARD;PAUL;M;15/12/1927;LA CIOTAT;BOUCHES DU RHONE;France;07/06/2020;MARTIGUES;Français;NA;WIKIPEDIA;
LOO;CHARLES EMILE;M;04/03/1922;MARSEILLE;BOUCHES DU RHONE;France;20/08/2016;MARSEILLE;Français;Chef-fe entreprise;WIKIPEDIA;Resistance
LOUIS;ALEXANDRA;F;17/09/1983;GRENOBLE;ISERE;France;NON;NA;Français;Avocat;WIKIPEDIA;
LUCAS;PIERRE;M;25/01/1928;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;NA;WIKIPEDIA;
MAGGI;JEAN PIERRE;M;27/07/1944;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Electricien-ne;WIKIPEDIA;
MALLIE;RICHARD;M;25/10/1948;BESANCON;DOUBS;France;NON;NA;Français;Dentiste;WIKIPEDIA;
MARCHETTI;PASCAL;M;04/09/1905;LYON;BOUCHES DU RHONE;France;26/12/1971;MARSEILLE;Français;NA;WIKIPEDIA;Resistance
MARQUAND GAIRARD;PIERRE;M;11/02/1902;MARSEILLE;BOUCHES DU RHONE;France;03/12/1972;MARSEILLE;Français;Negociant-e bois;WIKIPEDIA;
MASSE;JEAN;M;03/01/1911;MARSEILLE;BOUCHES DU RHONE;France;10/08/1987;MARSEILLE;Français;NA;WIKIPEDIA;
MASSE;MARIUS;M;15/04/1941;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;NA;WIKIPEDIA;
MASSE;CHRISTOPHE;M;16/11/1963;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Professeur-e;WIKIPEDIA;
MATALON;DANIEL;M;13/08/1914;SALONIQUE;NA;Grèce;21/04/1987;MARSEILLE;Français;N;WIKIPEDIA;
MATRAJA;PIERRE;M;14/02/1923;AJACCIO;CORSE;France;23/11/1991;SAUSSET LES PINS;Français;NA;WIKIPEDIA;
MATTEI;JEAN FRANCOIS;M;14/01/1943;LYON;RHONE;France;NON;NA;Français;Medecin;WIKIPEDIA;
MEI;ROGER;M;03/05/1935;HYERES;VAR;France;NON;NA;Français;Instituteur-ice;WIKIPEDIA;
MELENCHON;JEAN LUC;M;19/09/1951;TANGER;NA;Maroc;NON;NA;Français;Professeur-e;WIKIPEDIA;
MELIN;JOELLE;F;26/03/1950;VERSAILLES;YVELINES;France;NON;NA;Français;Medecin;WIKIPEDIA;
MELLAN;VICTOR;M;26/08/1923;MARSEILLE;BOUCHES DU RHONE;France;03/03/2007;PENNES MIRABEAU;Français;Entourage politique;MAITRON;
MENNUCCI;PATRICK;M;08/04/1955;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Chef-fe entreprise;WIKIPEDIA;
MICHEL;MONICA;F;16/04/1955;VICTORIA;NA;Seychelles;NON;NA;Français;Direction commerciale;WIKIPEDIA;
MINETTI;LOUIS;M;01/09/1925;LA CIOTAT;BOUCHES DU RHONE;France;NON;NA;Français;Agriculteur-ice;WIKIPEDIA;Resistance
MOURET;HENRI;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
MUSELIER;RENAUD;M;06/05/1959;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Medecin;WIKIPEDIA;
ODDE;AUGUSTE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
OLMETA;RENE;M;10/06/1934;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;NA;WIKIPEDIA;franc-maçon
PADOVANI;DENIS;M;03/02/1897;BERRE L ETANG;BOUCHES DU RHONE;France;19/04/1974;BERRE L ETANG;Français;Secrétaire général assistance publique;WIKIPEDIA;
PASQUET;ISABELLE;F;08/03/1962;NA;NA;NA;NON;NA;Français;SNCF;WIKIPEDIA;
PAYPAN;BENOIT;M;31/01/1978;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Notariat;WIKIPEDIA;
PERDOMO;RONALD;M;31/05/1941;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Avocat;WIKIPEDIA;
PERRIMOND;LOUIS;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
