IdIndividu;IdEluRNEHisto;IdEluSenat;IdEluAssemblee;NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;18/11/1962;01/03/1967;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;05/03/1967;20/06/1968;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;23/06/1968;01/03/1973;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;04/03/1973;10/03/1978;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;DEPUTE;19/06/2002;20/06/2007;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;02/04/1993;21/04/1997;NA;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;23/06/1988;01/04/1993;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;02/04/1986;20/09/1986;GOUVERNEMENT;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;03/04/1978;22/05/1981;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;DEPUTE;17/06/2007;10/06/2012;FM;NA;NA;NA;NA;UMP;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
