"Elu_IdIndividu","NomDeNaissance","NomMarital1","NomMarital2","Prenom","Prénom2","Prénom3","Dit","Sexe","DateNaissance","DateDeces","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","CodeTerritoire","NomTerritoire"
"EUR_0001659","FUILLET",NULL,NULL,"YVETTE",NULL,NULL,NULL,"F","1923-03-01",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001542","PRANCHERE",NULL,NULL,"PIERRE",NULL,NULL,NULL,"M","1927-07-01",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"SEN_058411C","CAILLAVET",NULL,NULL,"HENRI",NULL,NULL,NULL,"M","1914-02-13","2013-02-27","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001545","PFLIMLIN",NULL,NULL,"PIERRE",NULL,NULL,NULL,"M","1907-02-05","2000-06-27","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"SEN_065017N","DILIGENT",NULL,NULL,"ANDRE",NULL,NULL,NULL,"M","1919-05-10","2002-02-03","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001511","SUTRA DE GERMA",NULL,NULL,"GEORGES",NULL,NULL,NULL,"M","1930-01-14",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001617","HOFFMANN",NULL,NULL,"JACQUELINE",NULL,NULL,NULL,"F","1943-12-26",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001541","PONIATOWSKI",NULL,NULL,"MICHEL",NULL,NULL,NULL,"M","1922-05-16","2002-01-15","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"RNE_0000270","PERCHERON",NULL,NULL,"DANIEL",NULL,NULL,NULL,"M","1942-08-31",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1983-12-31","SENATEUR NATIONAL","0","UNIQUE"
"EUR_0001787","BAILLOT",NULL,NULL,"LOUIS",NULL,NULL,NULL,"M","1924-05-11","2007-05-08","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"RNE_0000258","MAUROY",NULL,NULL,"PIERRE",NULL,NULL,NULL,"M","1928-07-05","2013-06-07","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-03-06","DEMISSION","0","UNIQUE"
"EUR_0001767","BUCHOU",NULL,NULL,"HUBERT",NULL,NULL,NULL,"M","1925-01-01",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-10-13","DV","0","UNIQUE"
"SEN_0000514","PINTAT",NULL,NULL,"JEAN FRANCOIS",NULL,NULL,NULL,"M","1923-07-29","1990-06-14","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001710","DEBATISSE",NULL,NULL,"MICHEL",NULL,NULL,NULL,"M","1929-04-01","1997-06-11","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1979-10-23","ANNULATION","0","UNIQUE"
"EUR_0000930","BAUDIS",NULL,NULL,"PIERRE",NULL,NULL,NULL,"M","1916-05-11",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
