"Elu_IdIndividu","NomDeNaissance","NomMarital1","NomMarital2","Prenom","Prénom2","Prénom3","Dit","Sexe","DateNaissance","DateDeces","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","CodeTerritoire","NomTerritoire"
"RNE_0000088","WURTZ",NULL,NULL,"FRANCIS",NULL,NULL,NULL,"M","1948-01-03",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001590","MAFFRE BAUGE",NULL,NULL,"EMMANUEL",NULL,NULL,NULL,"M","1921-12-12",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001723","CHAMBEIRON",NULL,NULL,"ROBERT",NULL,NULL,NULL,"M","1915-05-22",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"RNE_0169458","GALLAND",NULL,NULL,"YVES",NULL,NULL,NULL,"M","1953-04-28",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"EUR_0001580","MOTCHANE",NULL,NULL,"DIDIER",NULL,NULL,NULL,"M","1931-09-17",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001639","HUGOT",NULL,NULL,"JEAN PAUL",NULL,NULL,NULL,"M","1948-04-02",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"RNE_0000398","VERGES",NULL,NULL,"PAUL",NULL,NULL,NULL,"M","1925-03-05","2016-11-12","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"SEN_0000197","FAURE",NULL,NULL,"EDGAR",NULL,NULL,NULL,"M","1908-08-18","1988-03-30","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001588","MARCHAIS",NULL,NULL,"GEORGES",NULL,NULL,NULL,"M","1920-06-07","1997-11-16","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"RNE_0000360","PONCELET",NULL,NULL,"CHRISTIAN",NULL,NULL,NULL,"M","1928-03-24",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-09-30","DEMISSION","0","UNIQUE"
"EUR_0000896","DAMETTE",NULL,NULL,"FELIX",NULL,NULL,NULL,"M","1936-06-02",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001774","CHOURAQUI",NULL,NULL,"NICOLE",NULL,NULL,NULL,"F","1938-03-18","1987-09-01","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-10-16","DEMISSION","0","UNIQUE"
"EUR_0001600","SCRIVENER",NULL,NULL,"CHRISTIANE",NULL,NULL,NULL,"F","1925-09-01",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001700","DONNEZ",NULL,NULL,"GEORGES",NULL,NULL,NULL,"M","1922-06-20","2001-04-23","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"RNE_0702648","CRESSON",NULL,NULL,"EDITH",NULL,NULL,NULL,"F","1934-01-27",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-06-16","NOMME AU GOUVERNEMENT","0","UNIQUE"
"RNE_0336746","SARRE",NULL,NULL,"GEORGES",NULL,NULL,NULL,"M","1935-11-26",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-09-16","DEPUTE NATIONAL","0","UNIQUE"
"RNE_0053761","JOSSELIN",NULL,NULL,"CHARLES",NULL,NULL,NULL,"M","1938-03-31",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-07-15","DEPUTE NATIONAL","0","UNIQUE"
"RNE_0001057","GREMETZ",NULL,NULL,"MAXIME",NULL,NULL,NULL,"M","1940-09-03",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000647","WEISS",NULL,NULL,"LOUISE",NULL,NULL,NULL,"F","1893-01-25","1883-05-26","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1983-05-26","DECES","0","UNIQUE"
"EUR_0000887","DENIS",NULL,NULL,"JACQUES",NULL,NULL,NULL,"M","1922-05-25",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000876","ESTIER",NULL,NULL,"CLAUDE",NULL,NULL,NULL,"M","1908-06-25",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-08-31","DV","0","UNIQUE"
"EUR_0000885","DELORS",NULL,NULL,"JACQUES",NULL,NULL,NULL,"M","1925-07-20",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-06-16","NOMME AU GOUVERNEMENT","0","UNIQUE"
"EUR_0000751","OEHLER",NULL,NULL,"JEAN",NULL,NULL,NULL,"M","1937-03-30",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-10-31","DEPUTE NATIONAL","0","UNIQUE"
"EUR_0000689","SEITLINGER",NULL,NULL,"JEAN",NULL,NULL,NULL,"M","1924-11-16",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000690","SIMONNET",NULL,NULL,"MAURICE",NULL,NULL,NULL,"M","1919-10-04","1988-08-21","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001691","DE MARCH RONCO",NULL,NULL,"DANIELLE",NULL,NULL,NULL,"F","1939-08-05",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"EUR_0000974","DE LA MALENE",NULL,NULL,"CHRISTIAN",NULL,NULL,NULL,"M","1920-12-05","2007-09-26","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000771","MARTINET",NULL,NULL,"GILLES",NULL,NULL,NULL,"M","1916-08-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-11-22","DEMISSION","0","UNIQUE"
"EUR_0000695","ROUDY",NULL,NULL,"YVETTE",NULL,NULL,NULL,"F","1929-04-10",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-06-16","NOMME AU GOUVERNEMENT","0","UNIQUE"
"EUR_0001707","CHARZAT",NULL,NULL,"GISELE",NULL,NULL,NULL,"F","1941-02-17",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001569","D ORMESSON",NULL,NULL,"OLIVIER",NULL,NULL,NULL,"M","1918-08-05","2012-10-24","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000710","SABLE",NULL,NULL,"VICTOR",NULL,NULL,NULL,"M","1911-11-30","1997-08-24","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000866","FERNANDEZ",NULL,NULL,"GUY",NULL,NULL,NULL,"M","1942-10-29",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000874","DRUON",NULL,NULL,"MAURICE",NULL,NULL,NULL,"M","1918-04-23","2009-04-14","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-06-20","DEMISSION","0","UNIQUE"
"EUR_0000864","DIENESCH",NULL,NULL,"MARIE MADELEINE",NULL,NULL,NULL,"F","1914-04-03","1998-01-08","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-09-30","DEMISSION","0","UNIQUE"
"EUR_0000858","FRISCHMANN",NULL,NULL,"GEORGES",NULL,NULL,NULL,"M","1919-08-05",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001703","DELOROZOY",NULL,NULL,"ROBERT",NULL,NULL,NULL,"M","1922-05-23",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"EUR_0000884","DELEAU",NULL,NULL,"GUSTAVE",NULL,NULL,NULL,"M","1909-09-18",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"RNE_1192024","SCHWARTZENBERG",NULL,NULL,"ROGER GERARD",NULL,NULL,NULL,"M","1943-04-17",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1983-03-23","NOMME AU GOUVERNEMENT","0","UNIQUE"
"EUR_0000820","GASPARD",NULL,NULL,"FRANCOISE",NULL,NULL,NULL,"F","1945-07-06",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-08-31","DV","0","UNIQUE"
"EUR_0000918","CALVEZ",NULL,NULL,"CORENTIN",NULL,NULL,NULL,"M","1920-06-26",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000916","CHIRAC",NULL,NULL,"JACQUES",NULL,NULL,NULL,"M","1932-11-29","2019-09-26","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-04-28","DEMISSION","0","UNIQUE"
"EUR_0000902","COMBE",NULL,NULL,"FRANCIS",NULL,NULL,NULL,"M","1926-05-14","1982-04-15","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1982-04-15","DEMISSION","0","UNIQUE"
"SEN_059528U","COLLOMB",NULL,NULL,"FRANCISQUE",NULL,NULL,NULL,"M","1910-12-19","2009-07-24","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000810","JAQUET",NULL,NULL,"GERARD",NULL,NULL,NULL,"M","1916-01-12",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000888","DEBRE",NULL,NULL,"MICHEL",NULL,NULL,NULL,"M","1912-01-15","1996-08-02","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-09-30","DEMISSION","0","UNIQUE"
"EUR_0001173","VAYSSADE",NULL,NULL,"MARIE CLAUDE",NULL,NULL,NULL,"F","1936-08-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"EUR_0000890","DELATTE",NULL,NULL,"CHARLES",NULL,NULL,NULL,"M","1922-01-10",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000936","ANSART",NULL,NULL,"GUSTAVE",NULL,NULL,NULL,"M","1923-03-05","1990-09-20","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-09-27","DEPUTE NATIONAL","0","UNIQUE"
"EUR_0000937","ANSQUER",NULL,NULL,"VINCENT",NULL,NULL,NULL,"M","1925-01-11","1987-05-31","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001174","VEIL",NULL,NULL,"SIMONE",NULL,NULL,NULL,"F","1927-07-13","2017-06-30","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000846","GILLOT",NULL,NULL,"ALAIN",NULL,NULL,NULL,"M","1927-03-21",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-09-30","DEMISSION","0","UNIQUE"
"EUR_0001128","MAYER",NULL,NULL,"SYLVIE",NULL,NULL,NULL,"F","1946-10-13",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000794","LABBE",NULL,NULL,"CLAUDE",NULL,NULL,NULL,"M","1926-01-27",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-07-09","DV","0","UNIQUE"
"EUR_0000853","FAURE",NULL,NULL,"MAURICE",NULL,NULL,NULL,"M","1922-01-02","2014-03-06","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1981-06-04","NOMME AU GOUVERNEMENT","0","UNIQUE"
"EUR_0001157","PIQUET",NULL,NULL,"RENE",NULL,NULL,NULL,"M","1932-10-23",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000742","MOREAU",NULL,NULL,"LOUISE",NULL,NULL,NULL,"F","1921-01-29","2001-02-05","REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000764","MOREAU",NULL,NULL,"JACQUES",NULL,NULL,NULL,"M","1933-08-25",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000770","MARTIN",NULL,NULL,"MAURICE",NULL,NULL,NULL,"M","1927-04-04",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0001702","ROSSI",NULL,NULL,"ANDRE",NULL,NULL,NULL,"M","1921-05-16",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"EUR_0000775","MESSMER",NULL,NULL,"PIERRE",NULL,NULL,NULL,"M","1906-03-20",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1980-06-27","DV","0","UNIQUE"
"EUR_0000694","PRUVOT",NULL,NULL,"MARIE JEANNE",NULL,NULL,NULL,"F","1922-12-13",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000722","REMILLY",NULL,NULL,"EUGENE",NULL,NULL,NULL,"M","1925-02-11",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0000732","POIRIER",NULL,NULL,"HENRIETTE",NULL,NULL,NULL,"F","1936-10-26",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","","0","UNIQUE"
"EUR_0002215","MARTIN",NULL,NULL,"SIMONE",NULL,NULL,NULL,"F","1953-11-22",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"EUR_0001606","LOO",NULL,NULL,"CHARLES EMILE",NULL,NULL,NULL,"M","1922-03-03",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-06-07","1984-06-16","FM","0","UNIQUE"
"PLM_1528729","MESSMER",NULL,NULL,"PIERRE",NULL,NULL,NULL,"M","1916-03-20","2007-08-29","REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1980-06-27","DEMISSION","0","UNIQUE"
"PLM_1530053","DELEAU",NULL,NULL,"GUSTAVE",NULL,NULL,NULL,"M","1909-09-16",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"SEN_086025D","ESTIER",NULL,NULL,"CLAUDE",NULL,NULL,NULL,"M","1925-06-08","2016-03-10","REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1981-08-31","DEPUTE NATIONAL","0","UNIQUE"
"PLM_1529186","LOO",NULL,NULL,"CHARLES EMILE",NULL,NULL,NULL,"M","1922-03-04","2016-08-20","REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"PLM_1530052","DE MARCH RONCO",NULL,NULL,"DANIELLE",NULL,NULL,NULL,"F","1939-08-06",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"PLM_1528577","LABBE",NULL,NULL,"CLAUDE",NULL,NULL,NULL,"M","1920-01-27","1993-11-29","REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1980-07-09","DEMISSION","0","UNIQUE"
"PLM_1530051","BUCHOU",NULL,NULL,"HUBERT",NULL,NULL,NULL,"M","1925-01-02",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1980-10-13","DEMISSION","0","UNIQUE"
"EUR_0000799","LECANUET",NULL,NULL,"JEAN",NULL,NULL,NULL,"M","1920-03-04","1993-02-22","REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"PLM_1528700","GASPARD",NULL,NULL,"FRANCOISE",NULL,NULL,NULL,"F","1945-06-17",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1981-08-31","DEPUTE NATIONAL","0","UNIQUE"
"PLM_1528451","ROSSI",NULL,NULL,"ANDRE",NULL,NULL,NULL,"M","1921-05-13","1994-08-22","REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"PLM_1530054","DELOROZOY",NULL,NULL,"ROBERT",NULL,NULL,NULL,"M","1922-05-24",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"RNE_0336792","GALLAND",NULL,NULL,"YVES",NULL,NULL,NULL,"M","1941-03-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"PLM_1530057","VAYSSADE",NULL,NULL,"MARIE CLAUDE",NULL,NULL,NULL,"F","1936-08-04",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"RNE_0774810","MARTIN",NULL,NULL,"SIMONE",NULL,NULL,NULL,"F","1943-04-14",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1979-07-17","1984-07-23","","0","UNIQUE"
"SEN_057321W","PISANI",NULL,NULL,"EDGARD",NULL,NULL,NULL,"M","1918-10-09","2016-06-20","REPRESENTANT AU PARLEMENT EUROPEEN","1979-10-24","1981-05-25","DV","0","UNIQUE"
"EUR_0000819","JALTON",NULL,NULL,"FREDERIC",NULL,NULL,NULL,"M","1924-02-21","1995-11-19","REPRESENTANT AU PARLEMENT EUROPEEN","1980-03-07","1981-09-14","DV","0","UNIQUE"
"EUR_0000817","ISRAEL",NULL,NULL,"GERARD",NULL,NULL,NULL,"M","1928-11-24",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-04-29","1984-06-16","","0","UNIQUE"
"EUR_0000433","FANTON",NULL,NULL,"ANDRE",NULL,NULL,NULL,"M","1928-03-31",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-06-21","1982-04-16","DEMISSION","0","UNIQUE"
"EUR_0000882","DOUBLET",NULL,NULL,"MAURICE",NULL,NULL,NULL,"M","1914-04-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-06-28","1981-06-18","DEMISSION","0","UNIQUE"
"EUR_0000908","CLEMENT",NULL,NULL,"JEAN JOSE",NULL,NULL,NULL,"M","1932-08-06",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-07-10","1982-02-15","DEMISSION","0","UNIQUE"
"EUR_0000828","FOURCADE",NULL,NULL,"MARIE MADELEINE",NULL,NULL,NULL,"F","1909-11-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-01","1981-09-17","DEMISSION","0","UNIQUE"
"EUR_0000675","TURCAT",NULL,NULL,"ANDRE",NULL,NULL,NULL,"M","1921-10-23",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-01","1981-09-17","DEMISSION","0","UNIQUE"
"EUR_0000786","DE LIPKOWSKI",NULL,NULL,"JEAN",NULL,NULL,NULL,"M","1920-12-25","1997-09-20","REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-01","1981-12-15","","0","UNIQUE"
"EUR_0000897","COUSTE",NULL,NULL,"PIERRE BERNARD",NULL,NULL,NULL,"M","1920-06-29","1989-04-11","REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-01","1984-06-16","","0","UNIQUE"
"EUR_0000667","VIE",NULL,NULL,"DANIEL",NULL,NULL,NULL,"M","1925-04-25",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-14","1984-06-16","","0","UNIQUE"
"EUR_0000844","GERONIMI",NULL,NULL,"FRANCOIS MARIE",NULL,NULL,NULL,"M","1911-02-20",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-17","1984-06-16","FM","0","UNIQUE"
"PLM_1530055","GERONIMI",NULL,NULL,"FRANCOIS MARIE",NULL,NULL,NULL,"M","1911-03-20",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-10-17","1984-07-23","","0","UNIQUE"
"EUR_0000865","DUPORT",NULL,NULL,"PAULE",NULL,NULL,NULL,"F","1927-09-13",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1980-11-01","1984-07-23","","0","UNIQUE"
"EUR_0000976","THAREAU",NULL,NULL,"BERNARD",NULL,NULL,NULL,"M","1936-09-02","1995-06-29","REPRESENTANT AU PARLEMENT EUROPEEN","1981-05-26","1984-06-16","","0","UNIQUE"
"EUR_0000975","SABY",NULL,NULL,"HENRY",NULL,NULL,NULL,"M","1933-08-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-05","1984-06-16","FM","0","UNIQUE"
"EUR_0000854","FORNI",NULL,NULL,"RAYMOND",NULL,NULL,NULL,"M","1941-05-25",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-17","1981-09-10","DV","0","UNIQUE"
"RNE_0578649","FUCHS",NULL,NULL,"GERARD",NULL,NULL,NULL,"M","1940-05-18",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-17","1984-06-16","FM","0","UNIQUE"
"PLM_1527613","FORNI",NULL,NULL,"RAYMOND",NULL,NULL,NULL,"M","1941-01-05","2008-01-05","REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-17","1981-09-10","DEPUTE NATIONAL","0","UNIQUE"
"EUR_0001803","FAJARDIE",NULL,NULL,"ROGER",NULL,NULL,NULL,"M","1930-09-04","1987-08-25","REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-17","1984-06-16","FM","0","UNIQUE"
"PLM_1530056","SABY",NULL,NULL,"HENRI",NULL,NULL,NULL,"M","1933-08-08",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-17","1984-07-23","","0","UNIQUE"
"EUR_0000814","JUNOT",NULL,NULL,"MICHEL",NULL,NULL,NULL,"M","1916-09-29",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-19","1983-01-12","DV","0","UNIQUE"
"PLM_1529859","JUNOT",NULL,NULL,"MICHEL",NULL,NULL,NULL,"M","1916-12-29",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-06-19","1983-01-12","DEMISSION","0","UNIQUE"
"EUR_0000681","THEOBALD PAOLI",NULL,NULL,"YVONNE",NULL,NULL,NULL,"F","1921-08-10",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-07-16","1984-06-16","FM","0","UNIQUE"
"RNE_0000161","ALFONSI",NULL,NULL,"NICOLAS",NULL,NULL,NULL,"M","1936-04-13","2020-03-16","REPRESENTANT AU PARLEMENT EUROPEEN","1981-09-01","1984-06-16","FM","0","UNIQUE"
"EUR_0001212","BOMBARD",NULL,NULL,"ALAIN",NULL,NULL,NULL,"M","1924-10-27",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-09-01","1984-06-16","FM","0","UNIQUE"
"EUR_0000873","DESOUCHES",NULL,NULL,"MARIE JACQUELINE",NULL,NULL,NULL,"F","1929-08-03",NULL,"REPRESENTANT AU PARLEMENT EUROPEEN","1981-09-11","1984-06-16","FM","0","UNIQUE"
