NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
ALMEIDA;JOSE;M;NA;NA;NA;NA;NA;NA;NA;CADRE;PRESSE;
BACHELARD;MICHEL;M;17/09/1948;LUX;SAONE ET LOIRE;FRANCE;NA;NA;NA;EMPLOYES (SECTEUR PRIVE);BOTTIN CdO;
BAILLY;HENRI;M;14/05/1891;NA;NA;FRANCE;NA;NA;FRANCAISE;INSPECTEUR HONORAIRE;ARCHIVES;
BARBIER;BERNARD;M;30/06/1924;LYON;BOUCHES DU RHONE;FRANCE;25/02/1998;DIJON;FRANCAISE;NEGOCIANTS;BOTTIN CdO;CONFRERIE DES CHEVALIERS DU TASTEVIN
BERGER;HENRY;M;04/04/1920;RIVIERE LES FOSSES;HAUTE MARNE;FRANCE;25/04/1996;DIJON;FRANCAISE;MEDECINS;BOTTIN CdO;
BERTHAUD;DOMINIQUE;M;NA;NA;NA;NA;NA;NA;FRANCAISE;NA;NA;
BORDAT;BENOIT;M;07/02/1984;CHENOVE;COTE D OR;FRANCE;NA;NA;FRANCAISE;CONSEILLER FONCIER;WIKIPEDIA;
BOURGOIN;GEORGES;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
BOUZIANE LAROUSSI;KHEIRA;F;23/08/1953;ORAN;NA;ALGERIE;NON;NA;FRANCAISE;PROFESSEUR;WIKIPEDIA;
BRENOT;LUCIEN;M;29/03/1948;SAULIEU;COTE D OR;FRANCE;13/10/2012;DIJON;FRANCAISE;MEDECINS;WIKIPEDIA;
BRIGAND;HUBERT;M;28/07/1952;CHATILLON SUR SEINE;COTE D OR;FRANCE;NA;NA;FRANCAISE;NA;WIKIPEDIA;
CARMINATI;BAPTISTE;M;NA;MONTBELIARD;DOUBS;FRANCE;01/02/2011;TALANT;FRANCAISE;PRESSE;WIKIPEDIA;
CARRAZ;ROLAND;M;18/05/1943;CHALON SUR SAONE;SAONE ET LOIRE;FRANCE;09/12/1999;CHENOVE;FRANCAISE;PROFESSEURS DE FACULTE;BOTTIN CdO;
CHAPUIS;PATRICK;M;17/08/1955;BOURG BLANC;FINISTERE;FRANCE;NON;NA;FRANCAISE;FINANCE;PRESSE;
CHARLES;PIERRE;M;21/06/1924;PARIS;PARIS;FRANCE;21/04/2016;NA;FRANCAISE;AVOCATS;BOTTIN CdO;ENFANT D'ELU
COLSON;MAURICE;M;01/01/1932;NA;ILE DE France;FRANCE;14/01/2013;NA;FRANCAISE;OUVRIER METALLURGISTE;LE BIEN PUBLIC;
DARCIAUX;CLAUDE;F;18/10/1942;BESANCON;DOUBS;FRANCE;NON;NA;FRANCAISE;ENSEIGNANT;WIKIPEDIA;
DE BROISSIA;LOUIS;M;01/06/1943;HANOI;NA;VIET NAM;NON;NA;FRANCAISE;PRESSE;BOTTIN CdO;
DE COURSON;YOLAINE;F;14/07/1954;NEUILLY SUR SEINE;HAUTS DE SEINE;FRANCE;NON;NA;FRANCAISE;CHEF ENTREPRISE;WIKIPEDIA;
DELATTE;CHARLES;M;10/01/1922;LONGEVILLE EN BARROIS;MEUSE;FRANCE;18/11/2003;DIJON;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;
DELATTE;REMI;M;09/06/1956;DIJON;COTE D OR;FRANCE;NON;NA;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;
DEPIERRE;BERNARD;M;06/06/1945;BOURBON LANCY;SAONE ET LOIRE;FRANCE;NON;NA;FRANCAISE;DIRECTEURS DES RESSOURCES HUMAINES;BOTTIN CdO;
DETANG;REMI;M;03/05/1956;NA;NA;FRANCE;NON;NA;FRANCAISE;CADRE;PRESSE;
DUCHET;ROGER;M;04/07/1904;LYON;BOUCHES DU RHONE;FRANCE;06/09/1981;PARIS;FRANCAISE;VETERINAIRE;WIKIPEDIA;MINISTRE
ESMONIN;JEAN;M;27/02/1937;DIJON;COTE D OR;FRANCE;NON;NA;FRANCAISE;CADRE;BOTTIN CdO;
ETIEVANT;MICHEL;M;12/12/1932;SAINT LOTHAIN;JURA;FRANCE;07/07/2006;DIJON;FRANCAISE;NA;BOTTIN CdO;
FALCONNET;THIERRY;M;27/11/1964;NA;NA;FRANCE;NON;NA;FRANCAISE;ENSEIGNANT;PRESSE;
FROUSSART;JEAN;M;16/05/1908;NA;NA;FRANCE;01/03/1989;CHEVIGNY SAINT SAUVEUR;FRANCAISE;INSPECTEUR TECHNIQUE;ARCHIVES;
GISCLON;JOFFRE;M;14/04/1915;SAINT SIMON DE BORDES;NA;FRANCE;NA;NA;FRANCAISE;MEDECINS;ARCHIVES;
GRANDGUILLAUME;LAURENT;M;20/01/1978;BESANCON;DOUBS;FRANCE;NON;NA;FRANCAISE;ENTREPRENEUR;WIKIPEDIA;
GRILLOT;LOUIS;M;18/04/1932;LE CREUSOT;SAONE ET LOIRE;FRANCE;12/08/2022;BEAUNE;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;
HOUELLE;MICHEL;M;09/08/1933;BEYROUTH;NA;LIBAN;NA;NA;NA;INGENIEURS;BOTTIN CdO;
HOUPERT;ALAIN;M;13/08/1957;DIJON;COTE D OR;FRANCE;NA;NA;FRANCAISE;MEDECINS;BOTTIN CdO;
JACOB;LUCIEN;M;03/07/1930;BEAUNE;COTE D OR;FRANCE;28/11/2019;NUITS SAINT GEORGES;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;
JACQUELINET;MARCEL;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
JACQUES;PIERRE;M;18/10/1910;MAUDRES LA COTE;NA;FRANCE;NA;NA;FRANCAISE;RETRAITE;ARCHIVES;
JAPIOT;FRANCOIS;M;01/11/1912;CHALONS SUR MARNE;MARNE;FRANCE;14/01/1994;DIJON;FRANCAISE;OFFICIER;WIKIPEDIA;
KHATTABI;FADILA;F;23/02/1962;MONTBELIARD;DOUBS;FRANCE;NON;NA;FRANCAISE;ENSEIGNANT;WIKIPEDIA;
KIR;FELIX;M;22/01/1876;ALISE SAINTE REINE;COTE D OR;FRANCE;25/04/1968;DIJON;FRANCAISE;CHANOINE;BOTTIN CdO;LIBERATION
LAJOUX;ISABELLE;F;20/05/1960;NA;NA;FRANCE;NON;NA;FRANCAISE;BANQUE;WIKIPEDIA;
LALLE;ALBERT;M;24/05/1905;VILLY LE MOUTIER;COTE D OR;FRANCE;22/10/1979;DIJON;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;
LAMBERTON;LEONCE;M;14/11/1886;NA;NA;FRANCE;NA;NA;FRANCAISE;RETRAITE SNCF;ARCHIVES;
LECAT;JEAN PHILIPPE;M;29/07/1935;DIJON;COTE D OR;FRANCE;01/04/2011;CLICHY;FRANCAISE;GRANDS CORPS DE L ETAT;BOTTIN CdO;MINISTRE
LOISIER;ANNE CATHERINE;F;13/03/1969;CAYENNE;GUYANE;FRANCE;NON;NA;FRANCAISE;SANS PROFESSION DECLAREE;BOTTIN CdO;
LOMBARD;MAURICE;M;04/02/1922;TARSUL;COTE D OR;FRANCE;10/03/2008;DIJON;FRANCAISE;PROFESSEURS DU SECONDAIRE ET TECHN. ET TECHN;BOTTIN CdO;RESPONSABLE RESISTANCE
