"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"cdo_001","ALMEIDA","JOSE","M",NA,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2014-03-23,2020-03-10,"FM","SOC",NA,"LONGVIC","Commune","WIKIPEDIA"
"cdo_001","ALMEIDA","JOSE","M",NA,"CONSEILLER MUNICIPAL",2020-03-20,NA,NA,"M",2020-03-20,NA,NA,"SOC",NA,"LONGVIC","Commune","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","1er ADJOINT",1984-01-01,1989-03-10,"FM","SOC",NA,"QUETIGNY","Commune","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER MUNICIPAL",1989-03-12,1995-06-10,"FM","1er ADJOINT",1989-03-12,1995-06-10,"FM","SOC",NA,"QUETIGNY","Commune","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER MUNICIPAL",1995-06-11,2001-03-10,"FM","1er ADJOINT",1995-06-11,2001-03-10,"FM","SOC",NA,"QUETIGNY","Commune","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2003-02-01,2008-03-01,"FM","SOC",NA,"QUETIGNY","Commune","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM","M",2008-03-09,2014-03-20,"FM","SOC",NA,"QUETIGNY","Commune","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER DEPARTEMENTAL",2011-03-20,2015-03-20,"FM",NA,NA,NA,NA,"SOC",NA,"DIJON 2","Canton","WIKIPEDIA"
"cdo_002","BACHELARD","MICHEL","M",1948-09-17,"CONSEILLER MUNICIPAL",2014-03-23,2016-01-22,"DM","M",2014-03-23,2016-01-22,"DM","SOC",NA,"QUETIGNY","Commune","WIKIPEDIA"
"cdo_003","BAILLY","HENRI","M",1891-05-14,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-05,"FM",NA,NA,NA,"FM","CNI","65024","CHENOVE","Commune","ARCHIVES"
