"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"bdr_138","ODDE","AUGUSTE","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM",NA,NA,"PENNES MIRABEAU","Commune","WIKIPEDIA"
"bdr_138","ODDE","AUGUSTE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1961-06-01,NA,"M",1959-03-08,1961-06-01,NA,NA,NA,"PENNES MIRABEAU","Commune","WIKIPEDIA"
"bdr_068","FERNANDEZ","PATRICIA","F",1972-01-01,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2005-06-20,2008-03-01,"FM","COM",NA,"PORT DE BOUC","Commune","PRESSE"
"bdr_068","FERNANDEZ","PATRICIA","F",1972-01-01,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM","M",2008-03-09,2014-03-20,"FM","COM",NA,"PORT DE BOUC","Commune","PRESSE"
"bdr_068","FERNANDEZ","PATRICIA","F",1972-01-01,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2014-03-23,2020-03-10,"FM","COM",NA,"PORT DE BOUC","Commune","PRESSE"
"bdr_016","BELSOSA","LAURENT","M",1970-01-12,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM",NA,NA,NA,NA,"COM",NA,"PORT DE BOUC","Commune","PRESSE"
"bdr_016","BELSOSA","LAURENT","M",1970-01-12,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,"M",2020-03-15,NA,NA,"COM",NA,"PORT DE BOUC","Commune","PRESSE"
"bdr_193","VALETTE","HONORE","M",NA,"CONSEILLER MUNICIPAL",1947-10-19,1953-04-20,"FM","M",1947-10-19,1953-04-20,"FM","DVD",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_193","VALETTE","HONORE","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM","DVD",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_193","VALETTE","HONORE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM","DVD",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_193","VALETTE","HONORE","M",NA,"CONSEILLER DEPARTEMENTAL",1949-03-20,1955-04-10,"FM",NA,NA,NA,NA,"DVD",NA,"TARASCON","Canton","WIKIPEDIA"
"bdr_193","VALETTE","HONORE","M",NA,"CONSEILLER DEPARTEMENTAL",1955-04-17,1961-06-01,"FM",NA,NA,NA,NA,"DVD",NA,"TARASCON","Canton","WIKIPEDIA"
"bdr_006","ANDRE","JEAN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",NA,NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_173","SAINT MICHEL","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM","SOC",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_173","SAINT MICHEL","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM","SOC",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_173","SAINT MICHEL","ANTONIN","M",NA,"CONSEILLER DEPARTEMENTAL",1973-09-23,1979-03-10,"FM",NA,NA,NA,NA,"SOC",NA,"TARASCON","Canton","WIKIPEDIA"
"bdr_164","REYNAUD","JEAN","M",NA,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2002-06-01,2005-01-01,NA,"DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_066","FABRE","CHARLES","M",1946-01-01,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2005-06-01,2008-03-01,"FM","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_066","FABRE","CHARLES","M",1946-01-01,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM","M",2008-03-09,2014-03-20,"FM","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2014-03-23,2020-03-10,"FM","DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,"M",2020-03-15,NA,NA,"DROITE",NA,"TARASCON","Commune","WIKIPEDIA"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER DEPARTEMENTAL",2002-06-01,2004-03-20,"FM",NA,NA,NA,NA,"DROITE",NA,"TARASCON","Canton","PRESSE"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER DEPARTEMENTAL",2004-03-28,2011-03-20,"FM",NA,NA,NA,NA,"DROITE",NA,"TARASCON","Canton","PRESSE"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER DEPARTEMENTAL",2011-03-27,2015-03-29,"FM",NA,NA,NA,NA,"DROITE",NA,"TARASCON","Canton","PRESSE"
