"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"CONSEILLER DEPARTEMENTAL",1982-03-14,1988-09-20,"FM",NA,NA,NA,NA,"DROITE",NA,"AULNAY SOUS BOIS","Canton","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"CONSEILLER DEPARTEMENTAL",1988-09-25,1993-01-01,"AU",NA,NA,NA,NA,"DROITE",NA,"AULNAY SOUS BOIS","Canton","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","M",1983-03-06,1989-03-10,"FM",NA,NA,"AULNAY SOUS BOIS","Commune","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"CONSEILLER MUNICIPAL",1989-03-19,1995-06-10,"FM","M",1989-03-19,1995-06-10,"FM",NA,NA,"AULNAY SOUS BOIS","Commune","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"CONSEILLER MUNICIPAL",1995-06-18,2001-03-10,"FM","M",1995-06-18,2001-03-10,"FM",NA,NA,"AULNAY SOUS BOIS","Commune","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM",NA,NA,NA,NA,NA,NA,"AULNAY SOUS BOIS","Commune","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"DEPUTE",1993-03-21,1997-05-20,"FM",NA,NA,NA,NA,"DROITE",NA,"10e CIRCONSCRIPTION SEINE SAINT DENIS","Circonscription législative","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"DEPUTE",1997-05-25,2002-06-01,"FM",NA,NA,NA,NA,"DROITE",NA,"10e CIRCONSCRIPTION SEINE SAINT DENIS","Circonscription législative","WIKIPEDIA"
"ssd_002","ABRIOUX","JEAN CLAUDE","M",1931-12-01,"DEPUTE",2002-06-09,2007-06-01,"FM",NA,NA,NA,NA,"DROITE",NA,"10e CIRCONSCRIPTION SEINE SAINT DENIS","Circonscription législative","WIKIPEDIA"
"ssd_003","ANATO","PATRICE","M",1976-03-14,"DEPUTE",2017-06-21,2022-06-10,"FM",NA,NA,NA,NA,"LREM",NA,"3e CIRCONSCRIPTION SEINE SAINT DENIS","Circonscription législative","WIKIPEDIA"
"ssd_004","ARCHIMBAUD","ALINE","F",1948-11-02,"CONSEILLER DEPARTEMENTAL",2014-01-01,2015-01-01,NA,NA,NA,NA,NA,"ECO",NA,"PANTIN EST","Canton","WIKIPEDIA"
"ssd_004","ARCHIMBAUD","ALINE","F",1948-11-02,"CONSEILLER MUNICIPAL",1995-06-18,2001-03-10,"FM",NA,NA,NA,NA,NA,NA,"PANTIN","Commune","WIKIPEDIA"
"ssd_004","ARCHIMBAUD","ALINE","F",1948-11-02,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM",NA,NA,NA,NA,NA,NA,"PANTIN","Commune","WIKIPEDIA"
"ssd_004","ARCHIMBAUD","ALINE","F",1948-11-02,"CONSEILLER MUNICIPAL",2008-03-09,2011-10-01,"DM",NA,NA,NA,NA,NA,NA,"PANTIN","Commune","WIKIPEDIA"
"ssd_004","ARCHIMBAUD","ALINE","F",1948-11-02,"REPRESENTANT PARLEMENT EUROPEEN",1992-07-06,1994-07-18,NA,NA,NA,NA,NA,"ECO",NA,NA,NA,"WIKIPEDIA"
